 waffle ,smear,chicken,drizzel,side,price,calories,protein,sodium,carbs,energy,num_occ
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,616.4,47.7,512.7,58.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,690.0,48.7,1149.0,52.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,616.4,47.7,557.7,58.0,21.75,1
Sweet Potato,Peach-Apricot,A panko-crusted chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,690.4,31.7,792.7,88.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,671.0,40.7,969.0,67.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,679.0,47.7,1294.0,64.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,616.4,47.7,512.7,58.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,601.4,35.7,842.7,84.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,698.4,42.7,1477.7,68.0,21.75,1
Sweet Potato,Baby-Blueberry,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,649.4,36.7,452.7,93.0,21.75,1
Sweet Potato,Vanilla-Almond,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,682.4,35.7,1062.7,93.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Mean Collard Greens (Spicy),21.75,651.4,41.7,241.7,91.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Sautéed Squash & Onions,21.75,676.4,47.7,886.7,78.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,662.4,35.7,1022.7,93.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,684.0,35.7,844.0,67.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Caramel & Salted Cashew,Sautéed Squash & Onions,21.75,637.4,50.7,957.7,70.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,610.4,35.7,257.7,74.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,686.0,35.7,1234.0,64.0,21.75,1
The Classic,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,693.0,35.7,1079.0,80.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,685.4,42.7,1282.7,84.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,677.4,35.7,912.7,87.0,21.75,1
Sweet Potato,Maple-Pecan,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,692.4,41.7,392.7,83.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,593.4,40.7,252.7,67.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,612.4,35.7,647.7,71.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,21.75,620.4,48.7,647.7,66.0,21.75,1
Sweet Potato,Vanilla-Almond,A panko-crusted chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,693.4,35.7,867.7,80.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,686.0,44.7,899.0,76.0,21.75,1
The Classic,Vanilla-Almond,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,691.0,40.7,1009.0,67.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Candied Pecans,Mean Collard Greens (Spicy),21.75,679.4,42.7,269.7,74.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,675.0,35.7,1429.0,77.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Caramel & Salted Cashew,Sautéed Squash & Onions,21.75,637.4,50.7,957.7,70.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Mean Collard Greens (Spicy),21.75,651.4,40.7,191.7,90.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,686.0,35.7,1234.0,64.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,696.4,42.7,1087.7,71.0,21.75,1
Sweet Potato,Peach-Apricot,A panko-crusted chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,692.4,39.7,842.7,96.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,21.75,694.0,47.7,1229.0,58.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Caramel & Salted Cashew,Sautéed Squash & Onions,21.75,655.4,50.7,607.7,73.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,698.4,42.7,1477.7,68.0,21.75,1
Sweet Potato,Peach-Apricot,A panko-crusted chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,677.4,36.7,917.7,88.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Candied Pecans,Fresh-Cut Fruit,21.75,698.4,37.7,664.7,78.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,684.0,35.7,799.0,67.0,21.75,1
Sweet Potato,Maple-Pecan,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,688.4,41.7,307.7,76.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,21.75,696.0,47.7,1619.0,55.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,593.4,40.7,252.7,67.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,612.4,43.7,307.7,82.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,21.75,694.0,47.7,1229.0,58.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,610.4,35.7,212.7,74.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Caramel & Salted Cashew,Fresh-Cut Fruit,21.75,649.4,38.7,307.7,89.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,673.0,35.7,994.0,80.0,21.75,1
Sweet Potato,Peach-Apricot,A panko-crusted chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,690.4,31.7,792.7,88.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Fresh-Cut Fruit,21.75,670.4,35.7,586.7,94.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,675.0,35.7,1429.0,77.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,612.4,43.7,307.7,82.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,656.0,41.7,1084.0,74.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,636.4,47.7,597.7,58.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,605.4,48.7,757.7,72.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,679.0,48.7,1344.0,65.0,21.75,1
Sweet Potato,Baby-Blueberry,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,647.4,41.7,382.7,80.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,662.4,35.7,977.7,93.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,694.4,30.7,872.7,94.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Caramel & Salted Cashew,Sautéed Squash & Onions,21.75,637.4,50.7,957.7,70.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,610.4,36.7,262.7,75.0,21.75,1
Sweet Potato,Baby-Blueberry,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,649.4,36.7,452.7,93.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Candied Pecans,Mean Collard Greens (Spicy),21.75,681.4,42.7,704.7,71.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,662.4,35.7,977.7,93.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,662.4,35.7,1022.7,93.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Mean Collard Greens (Spicy),21.75,651.4,41.7,241.7,91.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Sautéed Squash & Onions,21.75,674.4,48.7,501.7,82.0,21.75,1
The Gingerbread,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Caramel & Salted Cashew,Sautéed Squash & Onions,22.75,677.9,44.9,1848.0,82.3,22.75,1
