 waffle ,smear,chicken,drizzel,side,price,calories,protein,sodium,carbs,energy,num_occ
Sweet Potato,Peach-Apricot,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,597.4,41.7,387.7,75.0,21.75,1
Sweet Potato,Baby-Blueberry,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,643.4,41.7,297.7,73.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,688.0,35.7,929.0,74.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,21.75,694.0,48.7,1234.0,59.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,614.4,43.7,697.7,79.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,687.4,42.7,1672.7,81.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,619.4,35.7,492.7,87.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,601.4,35.7,842.7,84.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,593.4,41.7,302.7,68.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,679.0,47.7,1294.0,64.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,679.0,48.7,1344.0,65.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,688.0,35.7,884.0,74.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,602.4,40.7,532.7,80.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Fresh-Cut Fruit,21.75,668.4,35.7,196.7,97.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,671.0,40.7,969.0,67.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,673.0,36.7,1044.0,81.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,584.4,40.7,882.7,77.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,612.4,43.7,307.7,82.0,21.75,1
The Classic,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,676.0,40.7,1119.0,73.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,625.4,47.7,792.7,71.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Caramel & Salted Cashew,Sautéed Squash & Onions,21.75,637.4,50.7,957.7,70.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,599.4,35.7,407.7,87.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,675.0,35.7,1429.0,77.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,614.4,35.7,297.7,81.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,667.0,41.7,889.0,61.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,696.4,42.7,1087.7,71.0,21.75,1
Sweet Potato,Peach-Apricot,A panko-crusted chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,692.4,39.7,842.7,96.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,684.0,35.7,844.0,67.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,21.75,640.4,47.7,682.7,65.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,696.4,30.7,1262.7,91.0,21.75,1
